num_nodes,med,low,high,std_dev
1000,15.571095049381256,15.497892163693905,173.81003592163324,15.743938399842914
2000,93.87467615306377,91.82268287986517,97.41205628961325,1.1033595703117665
3000,231.56976699829102,229.58699893206358,237.60969284921885,1.2485652295511849
4000,533.7953097186983,530.0689833238721,549.805536866188,4.145201062355938
5000,924.8171956278384,919.9628559872508,946.4640151709318,5.15942533867388
6000,2100.239939521998,2092.896167188883,2142.5651824101806,9.92367017446007
7000,2157.1363820694387,2139.3458964303136,2196.4774252846837,10.930967201783632
8000,4197.488027159125,4188.772122375667,4272.814736701548,12.269869615676178
9000,4613.577690441161,4590.069686993957,4663.682043552399,13.694914973315482
10000,6022.825957275927,5996.6614209115505,6094.495262019336,15.18373179567695
11000,8913.68629457429,8892.90377870202,8978.819036856294,16.460169095500905
12000,17057.55512556061,17031.252308748662,17085.6820512563,10.345360835728542
