num_nodes,med,low,high,std_dev,impl
1K,1755.13182673603,1738.70346043259,2036.40958387405,28.6981512660749,Dense
2K,1824.21610224992,1815.84117934108,1836.06529049575,5.2155367118908,Dense
3K,1905.32148582861,1897.74953573942,1920.27700971812,5.70987963904551,Dense
4K,2039.52769655734,2019.45995818824,2068.06627288461,11.9628711845191,Dense
5K,2628.1851734966,2604.59004808217,2649.58141092211,13.7142117299709,Dense
6K,3371.30925431848,3352.12884750217,3401.20468381792,12.3924919025732,Dense
7K,4282.80112426728,4255.6857354939,4307.07621667534,14.3793291014184,Dense
8K,5262.1551649645,5237.83556651324,5290.75992107391,13.6810159409595,Dense
9K,6434.58449933678,6410.85730213672,6467.66154561192,15.02207766264,Dense
10K,7662.43634792045,7633.21457803249,7697.33951520175,14.9216465240641,Dense
11K,9078.00756627694,9046.32459674031,9107.70247969776,14.7409707497002,Dense
12K,10552.2222626023,10510.4094119743,10617.3953097314,29.6397988123337,Dense
1K,308.637793641537,307.098683901131,408.77952426672,10.1281227445964,Sparse COO
2K,385.015392675996,383.053823374212,497.109492309392,11.1609972440974,Sparse COO
3K,676.102659199387,650.609313510358,709.216684103012,17.1091237130753,Sparse COO
4K,1069.68269310892,1041.04694910347,1097.75618650019,15.5439050200022,Sparse COO
5K,1422.54377529025,1394.56213079393,1448.18621035665,15.2304891923107,Sparse COO
6K,1736.06664640829,1709.1034417972,1765.33934194595,14.6123522071689,Sparse COO
7K,2100.2663327381,2075.75249858201,2125.08605606854,13.8858636570111,Sparse COO
8K,2422.31132928282,2392.24095828831,2444.90981008858,14.2840115977826,Sparse COO
9K,2518.49087839946,2492.40027554333,2539.94106780738,12.6222495958167,Sparse COO
10K,2981.49707261473,2958.177681081,3009.31282527745,15.6156528588375,Sparse COO
11K,3294.78366533294,3265.41379559785,3357.31488093734,16.7893293759918,Sparse COO
12K,3540.18369456753,3507.47375842184,3564.88468218595,13.998813540235,Sparse COO
1K,311.274354811758,308.922953903675,360.819002613425,5.1065877188173,Sparse CSR
2K,313.406524248421,311.435860581696,350.163022987545,3.74768038231526,Sparse CSR
3K,410.801318008453,389.229754917324,429.883111268282,12.8488352431673,Sparse CSR
4K,463.856413494796,441.288244910538,491.267561912537,12.4443720936957,Sparse CSR
5K,632.045688573271,605.692088603973,659.780763089657,15.234264390065,Sparse CSR
6K,727.338071446866,706.392914056778,759.064502082765,14.8220481073296,Sparse CSR
7K,845.324500929564,815.925627015531,872.730890288949,15.7517231495535,Sparse CSR
8K,959.503701422364,926.127155311406,980.483071878552,15.9786204802341,Sparse CSR
9K,1032.64868585393,1002.6935543865,1055.43504748493,15.0945095415441,Sparse CSR
10K,1174.47207681835,1150.66234953702,1199.90275520831,13.6407546190753,Sparse CSR
11K,1261.48240081966,1235.96557881683,1329.93957214057,15.7342886758235,Sparse CSR
12K,1336.8304874748,1306.92182015628,1361.62657290697,12.9987498452247,Sparse CSR
1K,15.5710950493813,15.4978921636939,173.810035921633,15.7439383998429,Baseline (iGraph)
2K,93.8746761530638,91.8226828798652,97.4120562896133,1.10335957031177,Baseline (iGraph)
3K,231.569766998291,229.586998932064,237.609692849219,1.24856522955118,Baseline (iGraph)
4K,533.795309718698,530.068983323872,549.805536866188,4.14520106235594,Baseline (iGraph)
5K,924.817195627838,919.962855987251,946.464015170932,5.15942533867388,Baseline (iGraph)
6K,2100.239939522,2092.89616718888,2142.56518241018,9.92367017446007,Baseline (iGraph)
7K,2157.13638206944,2139.34589643031,2196.47742528468,10.9309672017836,Baseline (iGraph)
8K,4197.48802715913,4188.77212237567,4272.81473670155,12.2698696156762,Baseline (iGraph)
9K,4613.57769044116,4590.06968699396,4663.6820435524,13.6949149733155,Baseline (iGraph)
10K,6022.82595727593,5996.66142091155,6094.49526201934,15.183731795677,Baseline (iGraph)
11K,8913.68629457429,8892.90377870202,8978.81903685629,16.4601690955009,Baseline (iGraph)
12K,17057.5551255606,17031.2523087487,17085.6820512563,10.3453608357285,Baseline (iGraph)
